rank,bStudent,bFriends,cStudent,cFriends,pStudent,pFriends
1,23,98,23,98,23,98
2,175,88,211,97,211,97
3,40,90,1,94,1,94
4,149,82,38,91,175,88
5,211,97,40,90,38,91
6,145,78,49,90,40,90
7,45,86,175,88,49,90
8,1,94,86,87,45,86
9,38,91,32,87,86,87
10,138,73,45,86,32,87
11,22,85,50,85,22,85
12,70,72,22,85,50,85
13,32,87,149,82,149,82
14,50,85,196,81,145,78
15,86,87,90,80,196,81
16,155,73,190,78,90,80
17,202,71,103,78,226,78
18,103,78,137,75,103,78
19,226,78,145,78,190,78
20,90,80,27,76,27,76
21,49,90,156,75,138,73
22,156,75,4,73,156,75
23,4,73,98,73,155,73
24,53,72,138,73,70,72
25,82,47,67,73,137,75
26,54,72,155,73,4,73
27,196,81,113,74,54,72
28,173,65,202,71,113,74
29,169,70,226,78,67,73
30,61,70,70,72,53,72
31,153,67,147,71,202,71
32,151,71,54,72,98,73
33,132,63,31,70,151,71
34,213,70,89,70,147,71
35,210,61,213,70,169,70
36,192,69,75,69,213,70
37,46,69,46,69,104,70
38,85,58,20,69,61,70
39,106,61,151,71,36,70
40,27,76,104,70,224,70
41,74,62,61,70,167,68
42,88,63,224,70,20,69
43,131,57,53,72,31,70
44,67,73,192,69,64,70
45,167,68,94,69,89,70
46,190,78,64,70,192,69
47,137,75,194,68,75,69
48,20,69,80,67,46,69
49,84,60,11,67,153,67
50,229,64,167,68,41,67
51,41,67,153,67,94,69
52,104,70,169,70,194,68
53,36,70,69,66,235,67
54,147,71,17,67,80,67
55,17,67,16,66,17,67
56,224,70,41,67,11,67
57,105,66,235,67,105,66
58,80,67,173,65,173,65
59,75,69,135,65,69,66
60,89,70,205,65,16,66
61,64,70,19,65,205,65
62,235,67,36,70,19,65
63,161,54,229,64,135,65
64,96,52,105,66,130,64
65,24,62,132,63,132,63
66,98,73,74,62,229,64
67,225,51,24,62,88,63
68,130,64,187,62,74,62
69,113,74,210,61,168,63
70,205,65,88,63,106,61
71,16,66,84,60,24,62
72,116,60,130,64,84,60
73,194,68,26,61,210,61
74,11,67,232,60,116,60
75,19,65,101,61,187,62
76,31,70,234,60,51,61
77,140,56,123,61,85,58
78,69,66,168,63,26,61
79,94,69,100,61,123,61
80,187,62,99,59,100,61
81,135,65,131,57,101,61
82,14,39,10,58,234,60
83,162,40,201,58,129,60
84,15,49,51,61,232,60
85,51,61,124,57,10,58
86,198,49,140,56,201,58
87,95,52,159,55,99,59
88,10,58,25,56,131,57
89,159,55,33,58,140,56
90,25,56,126,55,33,58
91,133,57,47,54,59,58
92,123,61,58,53,133,57
93,26,61,15,49,124,57
94,126,55,116,60,126,55
95,77,42,129,60,25,56
96,201,58,42,49,159,55
97,58,53,198,49,161,54
98,233,40,133,57,170,54
99,47,54,160,50,47,54
100,232,60,97,48,58,53
101,234,60,30,47,96,52
102,164,46,39,51,95,52
103,168,63,178,50,39,51
104,99,59,223,49,186,52
105,39,51,161,54,225,51
106,171,48,59,58,219,51
107,146,37,3,49,82,47
108,97,48,0,45,78,51
109,100,61,184,49,71,51
110,170,54,225,51,178,50
111,178,50,37,49,198,49
112,223,49,106,61,184,49
113,18,48,95,52,171,48
114,101,61,28,48,160,50
115,166,43,171,48,15,49
116,44,49,29,47,44,49
117,3,49,63,47,42,49
118,183,47,6,42,214,49
119,219,51,186,52,223,49
120,33,58,162,40,37,49
121,42,49,96,52,3,49
122,81,37,219,51,18,48
123,66,46,82,47,183,47
124,129,60,85,58,97,48
125,218,42,215,48,215,48
126,221,36,71,51,29,47
127,124,57,170,54,28,48
128,163,45,18,48,164,46
129,184,49,78,51,63,47
130,207,42,44,49,30,47
131,30,47,163,45,66,46
132,0,45,218,42,157,46
133,160,50,214,49,163,45
134,63,47,107,44,0,45
135,120,43,102,42,218,42
136,79,34,191,44,120,43
137,37,49,166,43,107,44
138,214,49,52,39,166,43
139,59,58,199,44,233,40
140,78,51,66,46,199,44
141,71,51,164,46,207,42
142,186,52,183,47,191,44
143,191,44,48,39,77,42
144,200,43,176,38,200,43
145,6,42,221,36,2,42
146,29,47,207,42,6,42
147,48,39,2,42,109,42
148,215,48,68,34,162,40
149,52,39,157,46,102,42
150,176,38,81,37,14,39
151,157,46,109,42,204,38
152,21,36,233,40,146,37
153,107,44,119,40,119,40
154,185,31,127,38,62,40
155,2,42,120,43,165,39
156,144,39,216,33,48,39
157,34,37,62,40,52,39
158,112,36,200,43,144,39
159,115,32,230,28,176,38
160,154,32,79,34,81,37
161,209,31,87,37,158,38
162,87,37,112,36,87,37
163,204,38,209,31,91,38
164,220,27,91,38,127,38
165,5,31,144,39,21,36
166,109,42,185,31,73,35
167,114,29,189,33,34,37
168,73,35,146,37,112,36
169,216,33,8,35,56,36
170,199,44,13,31,221,36
171,102,42,14,39,152,37
172,62,40,125,34,117,35
173,8,35,193,26,8,35
174,119,40,152,37,79,34
175,111,31,34,37,115,32
176,182,33,158,38,68,34
177,28,48,182,33,182,33
178,68,34,228,24,216,33
179,177,30,115,32,83,33
180,189,33,56,36,125,34
181,158,38,77,42,209,31
182,13,31,21,36,185,31
183,203,30,9,28,189,33
184,91,38,177,30,154,32
185,231,32,114,29,121,33
186,56,36,203,30,111,31
187,72,27,220,27,5,31
188,152,37,204,38,231,32
189,127,38,231,32,114,29
190,134,30,35,28,177,30
191,181,27,83,33,203,30
192,43,28,111,31,110,29
193,208,28,165,39,134,30
194,110,29,143,29,13,31
195,143,29,117,35,172,29
196,193,26,121,33,143,29
197,118,28,128,30,43,28
198,117,35,206,28,222,29
199,228,24,118,28,55,29
200,125,34,208,28,206,28
201,227,27,154,32,181,27
202,148,21,139,25,128,30
203,165,39,141,30,141,30
204,206,28,92,22,118,28
205,83,33,5,31,220,27
206,172,29,195,25,65,27
207,195,25,222,29,208,28
208,92,22,55,29,72,27
209,141,30,60,24,12,27
210,60,24,134,30,227,27
211,9,28,181,27,9,28
212,222,29,110,29,230,28
213,150,27,73,35,57,27
214,139,25,150,27,35,28
215,230,28,12,27,150,27
216,12,27,227,27,188,27
217,180,20,172,29,60,24
218,121,33,72,27,174,25
219,35,28,188,27,193,26
220,128,30,57,27,139,25
221,174,25,148,21,195,25
222,142,21,180,20,108,23
223,108,23,122,20,7,23
224,55,29,43,28,228,24
225,65,27,212,22,217,21
226,93,18,7,23,92,22
227,179,22,174,25,197,22
228,212,22,197,22,179,22
229,136,18,142,21,148,21
230,217,21,76,21,212,22
231,188,27,108,23,180,20
232,57,27,65,27,142,21
233,122,20,93,18,76,21
234,197,22,217,21,93,18
235,76,21,136,18,122,20
236,7,23,179,22,136,18
