rank,student,friends,type
1,23,98,betweeness
2,175,88,betweeness
3,40,90,betweeness
4,149,82,betweeness
5,211,97,betweeness
6,145,78,betweeness
7,45,86,betweeness
8,1,94,betweeness
9,38,91,betweeness
10,138,73,betweeness
11,22,85,betweeness
12,70,72,betweeness
13,32,87,betweeness
14,50,85,betweeness
15,86,87,betweeness
16,155,73,betweeness
17,202,71,betweeness
18,103,78,betweeness
19,226,78,betweeness
20,90,80,betweeness
21,49,90,betweeness
22,156,75,betweeness
23,4,73,betweeness
24,53,72,betweeness
25,82,47,betweeness
26,54,72,betweeness
27,196,81,betweeness
28,173,65,betweeness
29,169,70,betweeness
30,61,70,betweeness
31,153,67,betweeness
32,151,71,betweeness
33,132,63,betweeness
34,213,70,betweeness
35,210,61,betweeness
36,192,69,betweeness
37,46,69,betweeness
38,85,58,betweeness
39,106,61,betweeness
40,27,76,betweeness
41,74,62,betweeness
42,88,63,betweeness
43,131,57,betweeness
44,67,73,betweeness
45,167,68,betweeness
46,190,78,betweeness
47,137,75,betweeness
48,20,69,betweeness
49,84,60,betweeness
50,229,64,betweeness
51,41,67,betweeness
52,104,70,betweeness
53,36,70,betweeness
54,147,71,betweeness
55,17,67,betweeness
56,224,70,betweeness
57,105,66,betweeness
58,80,67,betweeness
59,75,69,betweeness
60,89,70,betweeness
61,64,70,betweeness
62,235,67,betweeness
63,161,54,betweeness
64,96,52,betweeness
65,24,62,betweeness
66,98,73,betweeness
67,225,51,betweeness
68,130,64,betweeness
69,113,74,betweeness
70,205,65,betweeness
71,16,66,betweeness
72,116,60,betweeness
73,194,68,betweeness
74,11,67,betweeness
75,19,65,betweeness
76,31,70,betweeness
77,140,56,betweeness
78,69,66,betweeness
79,94,69,betweeness
80,187,62,betweeness
81,135,65,betweeness
82,14,39,betweeness
83,162,40,betweeness
84,15,49,betweeness
85,51,61,betweeness
86,198,49,betweeness
87,95,52,betweeness
88,10,58,betweeness
89,159,55,betweeness
90,25,56,betweeness
91,133,57,betweeness
92,123,61,betweeness
93,26,61,betweeness
94,126,55,betweeness
95,77,42,betweeness
96,201,58,betweeness
97,58,53,betweeness
98,233,40,betweeness
99,47,54,betweeness
100,232,60,betweeness
101,234,60,betweeness
102,164,46,betweeness
103,168,63,betweeness
104,99,59,betweeness
105,39,51,betweeness
106,171,48,betweeness
107,146,37,betweeness
108,97,48,betweeness
109,100,61,betweeness
110,170,54,betweeness
111,178,50,betweeness
112,223,49,betweeness
113,18,48,betweeness
114,101,61,betweeness
115,166,43,betweeness
116,44,49,betweeness
117,3,49,betweeness
118,183,47,betweeness
119,219,51,betweeness
120,33,58,betweeness
121,42,49,betweeness
122,81,37,betweeness
123,66,46,betweeness
124,129,60,betweeness
125,218,42,betweeness
126,221,36,betweeness
127,124,57,betweeness
128,163,45,betweeness
129,184,49,betweeness
130,207,42,betweeness
131,30,47,betweeness
132,0,45,betweeness
133,160,50,betweeness
134,63,47,betweeness
135,120,43,betweeness
136,79,34,betweeness
137,37,49,betweeness
138,214,49,betweeness
139,59,58,betweeness
140,78,51,betweeness
141,71,51,betweeness
142,186,52,betweeness
143,191,44,betweeness
144,200,43,betweeness
145,6,42,betweeness
146,29,47,betweeness
147,48,39,betweeness
148,215,48,betweeness
149,52,39,betweeness
150,176,38,betweeness
151,157,46,betweeness
152,21,36,betweeness
153,107,44,betweeness
154,185,31,betweeness
155,2,42,betweeness
156,144,39,betweeness
157,34,37,betweeness
158,112,36,betweeness
159,115,32,betweeness
160,154,32,betweeness
161,209,31,betweeness
162,87,37,betweeness
163,204,38,betweeness
164,220,27,betweeness
165,5,31,betweeness
166,109,42,betweeness
167,114,29,betweeness
168,73,35,betweeness
169,216,33,betweeness
170,199,44,betweeness
171,102,42,betweeness
172,62,40,betweeness
173,8,35,betweeness
174,119,40,betweeness
175,111,31,betweeness
176,182,33,betweeness
177,28,48,betweeness
178,68,34,betweeness
179,177,30,betweeness
180,189,33,betweeness
