robots,centrality,steps,xxxp,1000p,2500p,5000p,1000c,2500c,5000c
0,"""betweenness-centrality""",8274.0065,0.0,0.0,0.0,0.0,12.3878333333333,9.93816666666667,4.87066666666667
0,"""closeness-centrality""",8245.82616666667,0.0,0.0,0.0,0.0,12.3721666666667,9.92533333333333,4.8295
0,"""page-rank""",8255.992,0.0,0.0,0.0,0.0,12.383,9.944,4.85783333333333
0,"""random""",8280.24666666667,0.0,0.0,0.0,0.0,12.3765,9.90316666666667,4.812
3,"""betweenness-centrality""",14967.507,0.3,6.53658192090409,8.47281073446331,5.28968926553667,13.33,11.044,6.11166666666667
3,"""closeness-centrality""",15205.5176666667,0.283333333333333,6.57895480226002,8.47521186440683,5.07570621468922,13.3365,11.0063333333333,6.1145
3,"""page-rank""",15304.6538333333,0.216666666666667,6.50331920903966,8.37048022598878,5.12365819209036,13.3346666666667,11.027,6.1095
3,"""random""",66802.507,2.55550847457631,8.01264124293793,11.7454096045198,9.1300847457627,13.3493333333333,10.9658333333333,6.06183333333333
6,"""betweenness-centrality""",76760.8246666667,21.8549435028248,13.0911016949153,20.9793079096044,24.8731638418079,13.3938333333333,11.16,6.48316666666667
6,"""closeness-centrality""",78175.1285,21.2447740112994,13.0785310734464,21.0468926553673,24.5331214689266,13.3816666666667,11.0886666666667,6.47233333333333
6,"""page-rank""",76788.4343333333,21.7690677966101,13.0856638418079,20.9817796610169,24.4867231638418,13.3706666666667,11.0923333333333,6.46516666666667
6,"""random""",62495.86,45.5257768361581,15.5716101694915,27.9483757062146,42.2767655367232,13.3291666666667,10.8803333333333,5.91333333333333
9,"""betweenness-centrality""",34079.2598333333,74.6086158192089,19.436581920904,35.6243644067797,61.7351694915256,13.3675,11.0076666666667,6.01183333333333
9,"""closeness-centrality""",34034.0353333333,74.8234463276834,19.4879237288136,35.7390536723162,60.8938559322031,13.366,11.0135,6.01866666666667
9,"""page-rank""",34239.1253333333,74.534463276836,19.440466101695,35.6455508474577,61.1427966101695,13.3716666666667,10.9733333333333,6.03166666666667
9,"""random""",17033.6698333333,91.2150423728813,22.7887005649717,45.7637711864407,80.6979519774012,13.287,10.5538333333333,4.82033333333333
11,"""betweenness-centrality""",13400.453,94.7953389830509,23.8421610169492,46.3108050847457,82.2541666666669,13.3588333333333,10.8535,5.21983333333333
11,"""closeness-centrality""",14599.5335,93.8024717514124,23.7276836158193,45.6119350282485,80.582627118644,13.3876666666667,10.868,5.42733333333333
11,"""page-rank""",14392.9891666667,93.9121468926554,23.7266949152542,45.6911723163842,81.0292372881358,13.3431666666667,10.847,5.38933333333333
11,"""random""",8435.37316666667,98.638418079096,27.659675141243,57.3610169491525,93.0882062146897,13.2515,10.2606666666667,3.92083333333333
26,"""betweenness-centrality""",5976.48333333333,100.0,46.8633474576271,82.5000706214687,99.3062146892687,13.269,9.231,2.67516666666667
26,"""closeness-centrality""",6126.46516666667,100.0,46.0741525423727,80.6625706214689,99.1250706214717,13.2665,9.419,2.85583333333333
26,"""page-rank""",6133.72533333333,99.9834039548023,46.0533898305083,80.7984463276838,99.1061440677994,13.2698333333333,9.38133333333333,2.85
26,"""random""",5126.9775,100.0,53.4348870056497,91.0639830508475,99.8418079096066,12.9481666666667,7.33233333333333,1.70066666666667
44,"""betweenness-centrality""",5699.81183333333,100.0,63.5081920903956,91.4687853107348,99.653319209043,13.0935,7.67316666666667,2.19783333333333
44,"""closeness-centrality""",5921.544,100.0,62.0682909604517,89.814901129944,99.4909604519807,13.083,8.04366666666667,2.437
44,"""page-rank""",5924.78616666667,100.0,62.34802259887,90.0911016949158,99.5144774011331,13.0971666666667,8.01383333333333,2.4265
44,"""random""",4634.84883333333,100.0,71.2365819209041,96.9012711864395,99.9401129943516,12.4193333333333,5.08216666666667,1.34833333333333
85,"""betweenness-centrality""",5059.22,99.9834039548023,87.6273305084748,98.0443502824854,99.861087570624,11.1615,4.62833333333333,1.59133333333333
85,"""closeness-centrality""",5271.73133333333,100.0,87.1491525423727,97.7050847457617,99.8446327683643,11.0585,4.80933333333333,1.71116666666667
85,"""page-rank""",5111.79483333333,100.0,87.5509887005653,97.9935734463267,99.8670197740136,11.2308333333333,4.71333333333333,1.62666666666667
85,"""random""",3730.852,100.0,90.4882062146896,99.4586864406827,99.9836864406784,9.81283333333333,2.79533333333333,1.10966666666667
