robots,centrality,steps,xxxp,1000p,2500p,5000p,1000c,2500c,5000c
0,"""betweenness-centrality""",6712.83,0.0,0.0,0.0,0.0,4.89,2.85,1.95
0,"""closeness-centrality""",6828.79,0.0,0.0,0.0,0.0,4.74,2.73,1.93
0,"""page-rank""",5442.57,0.0,0.0,0.0,0.0,4.87,2.55,1.64
0,"""random""",6771.61,0.0,0.0,0.0,0.0,4.61,2.86,1.92
1,"""betweenness-centrality""",9686.03,6.0,5.41176470588235,6.47058823529412,8.79411764705882,5.2,3.19,2.36
1,"""closeness-centrality""",7430.4,14.0,5.3235294117647,11.7058823529412,13.5,5.12,3.37,2.0
1,"""page-rank""",6505.13,3.0,3.23529411764706,2.85294117647059,2.76470588235294,5.3,3.12,1.89
1,"""random""",7713.64,8.0,8.8529411764706,9.94117647058825,9.94117647058824,5.63,3.6,2.25
2,"""betweenness-centrality""",8355.32,35.0,16.0882352941177,23.3823529411765,27.4705882352941,5.21,3.55,2.25
2,"""closeness-centrality""",10477.31,52.0,14.2352941176471,26.1470588235294,34.4117647058824,5.64,3.63,2.6
2,"""page-rank""",6965.83,25.0,9.47058823529413,15.4705882352941,22.4705882352941,5.33,3.38,2.11
2,"""random""",15143.14,39.0,18.4117647058824,22.4705882352941,28.2647058823529,5.48,3.6,2.79
3,"""betweenness-centrality""",7343.34,75.0,24.5882352941177,42.0588235294118,59.1764705882353,5.62,3.51,2.4
3,"""closeness-centrality""",8719.07,71.0,23.1176470588235,39.0882352941177,51.9117647058823,5.78,3.61,2.61
3,"""page-rank""",8051.29,71.0,21.5882352941177,38.264705882353,54.4411764705882,5.78,3.76,2.46
3,"""random""",13256.83,91.0,31.4117647058824,45.1764705882353,59.5588235294118,5.66,3.6,2.61
4,"""betweenness-centrality""",6485.57,93.0,33.2941176470588,61.2941176470588,78.5294117647059,5.65,3.38,2.08
4,"""closeness-centrality""",6966.38,96.0,37.0,59.8529411764706,79.5882352941176,5.61,3.44,2.09
4,"""page-rank""",6377.07,95.0,35.9705882352941,62.7352941176471,83.764705882353,5.6,3.24,1.94
4,"""random""",9519.01,98.0,38.1176470588235,61.4117647058824,76.5882352941177,5.63,3.3,2.08
9,"""betweenness-centrality""",4644.37,100.0,71.8823529411765,90.0294117647058,95.7941176470588,4.73,2.22,1.45
9,"""closeness-centrality""",5509.33,100.0,69.8529411764706,88.8823529411764,94.8529411764706,4.9,2.41,1.57
9,"""page-rank""",4462.84,100.0,76.2058823529411,90.9705882352941,95.5882352941176,4.44,2.16,1.41
9,"""random""",2998.86,100.0,76.0,93.6764705882353,98.5882352941176,4.45,1.89,1.16
15,"""betweenness-centrality""",2117.44,100.0,89.2058823529412,99.1470588235294,99.9705882352941,3.88,1.28,1.01
15,"""closeness-centrality""",6199.13,100.0,76.0588235294117,89.9411764705882,94.5882352941176,4.52,2.29,1.52
15,"""page-rank""",1933.56,100.0,90.4411764705882,99.2941176470588,99.9705882352941,3.75,1.25,1.01
15,"""random""",1943.3,99.0294117647059,90.4117647058823,97.8529411764706,98.5882352941177,3.08,1.27,1.04
29,"""betweenness-centrality""",1538.03,100.0,97.0294117647059,99.764705882353,100.0,2.26,1.13,1.01
29,"""closeness-centrality""",1566.69,100.0,97.1470588235294,99.7647058823529,100.0,2.24,1.13,1.01
29,"""page-rank""",2008.9,100.0,95.7941176470588,99.4117647058824,99.9117647058824,2.7,1.23,1.03
29,"""random""",979.27,99.0294117647059,97.7941176470588,98.9705882352941,99.0294117647059,1.49,1.03,1.0
